[519] : 206.609375,  192.562500  (-14.046875)
[520] : 226.125000,  226.125000  (0.000000)
[521] : 118.000000,  118.812500  (0.812500)
[522] : 103.796875,  101.781250  (-2.015625)
[523] : 90.687500,  85.656250  (-5.031250)
[524] : 355.343750,  355.546875  (0.203125)
[525] : 141.453125,  137.968750  (-3.484375)
[526] : 129.921875,  129.265625  (-0.656250)
[527] : 134.109375,  126.203125  (-7.906250)
[528] : 127.468750,  126.234375  (-1.234375)
[529] : 109.656250,  109.765625  (0.109375)
[530] : 67.734375,  64.312500  (-3.421875)
[531] : 60.828125,  59.656250  (-1.171875)
[532] : 52.218750,  52.218750  (0.000000)
[533] : 199.125000,  198.968750  (-0.156250)
[534] : 230.546875,  251.890625  (21.343750)
[535] : 123.453125,  123.453125  (0.000000)
[536] : 45.328125,  39.718750  (-5.609375)
[537] : 9.609375,  9.609375  (0.000000)
[538] : 40.562500,  40.562500  (0.000000)
[539] : 10.078125,  10.078125  (0.000000)
[540] : 14.734375,  14.734375  (0.000000)
[541] : 11.437500,  11.437500  (0.000000)
[542] : 15.156250,  15.156250  (0.000000)
[543] : 27.750000,  27.671875  (-0.078125)
[544] : 525.000000,  533.140625  (8.140625)
[545] : 486.468750,  493.203125  (6.734375)
[546] : 105.343750,  105.328125  (-0.015625)
[547] : 370.984375,  366.843750  (-4.140625)
[548] : 359.046875,  360.859375  (1.812500)
[549] : 443.734375,  423.140625  (-20.593750)
[550] : 431.656250,  415.015625  (-16.640625)
[551] : 515.140625,  467.515625  (-47.625000)
[552] : 352.656250,  334.937500  (-17.718750)
[553] : 20.187500,  20.187500  (0.000000)
[554] : 378.078125,  533.375000  (155.296875)
[555] : 145.343750,  145.406250  (0.062500)
[556] : 245.359375,  240.593750  (-4.765625)
[557] : 313.000000,  309.421875  (-3.578125)
[558] : 249.015625,  248.875000  (-0.140625)
[559] : 223.828125,  409.093750  (185.265625)
[560] : 373.500000,  373.546875  (0.046875)
[561] : 288.234375,  288.109375  (-0.125000)
[562] : 270.250000,  270.359375  (0.109375)
[563] : 36.234375,  36.234375  (0.000000)
[564] : 20.328125,  24.312500  (3.984375)
[565] : 383.390625,  388.187500  (4.796875)
[566] : 56.500000,  44.281250  (-12.218750)
[567] : 81.437500,  81.234375  (-0.203125)
[568] : 34.343750,  34.343750  (0.000000)
[569] : 10.000000,  9.859375  (-0.140625)
[570] : 3.796875,  3.796875  (0.000000)
[571] : 6.515625,  6.515625  (0.000000)
[572] : 13.015625,  13.015625  (0.000000)
[573] : 9.937500,  9.937500  (0.000000)
[574] : 11.765625,  11.765625  (0.000000)
[575] : 16.765625,  12.093750  (-4.671875)
[576] : 420.375000,  436.984375  (16.609375)
[577] : 345.671875,  430.718750  (85.046875)
[578] : 96.250000,  95.609375  (-0.640625)
[579] : 456.875000,  457.562500  (0.687500)
[580] : 291.906250,  277.718750  (-14.187500)
[581] : 259.718750,  262.640625  (2.921875)
[582] : 574.515625,  565.281250  (-9.234375)
[583] : 284.328125,  282.828125  (-1.500000)
[584] : 286.906250,  313.468750  (26.562500)
[585] : 272.531250,  272.406250  (-0.125000)
[586] : 242.718750,  220.093750  (-22.625000)
[587] : 176.859375,  169.671875  (-7.187500)
[588] : 282.390625,  281.937500  (-0.453125)
[589] : 110.859375,  152.343750  (41.484375)
[590] : 208.531250,  209.281250  (0.750000)
[591] : 203.156250,  206.343750  (3.187500)
[592] : 595.593750,  642.031250  (46.437500)
[593] : 344.953125,  379.671875  (34.718750)
[594] : 314.031250,  318.375000  (4.343750)
