   DCT only, opt basis No.6 (MSE)
[819] : 41.015625,  41.296875
[820] : 33.578125,  35.015625
[821] : 27.984375,  45.390625
[822] : 47.968750,  47.828125
[823] : 39.953125,  40.375000
[824] : 44.546875,  94.609375
[825] : 46.718750,  46.843750
[826] : 34.859375,  50.515625
[827] : 22.734375,  35.062500
[828] : 11.546875,  11.656250
[829] : 3.484375,  3.484375
[830] : 1.265625,  1.281250
[831] : 1.140625,  1.093750
[832] : 4.562500,  7.265625
[833] : 1.734375,  1.671875
[834] : 1.796875,  1.796875
[835] : 1.312500,  1.312500
[836] : 2.109375,  2.046875
[837] : 1.828125,  1.828125
[838] : 9.281250,  9.281250
[839] : 11.078125,  11.078125
[840] : 4.406250,  4.406250
[841] : 13.359375,  13.171875
[842] : 24.906250,  25.093750
[843] : 29.203125,  28.750000
[844] : 11.062500,  11.109375
[845] : 17.296875,  33.171875
[846] : 14.984375,  21.875000
[847] : 28.578125,  30.515625
[848] : 38.968750,  38.968750
[849] : 35.890625,  35.781250
[850] : 35.953125,  39.078125
[851] : 23.375000,  24.406250
[852] : 21.343750,  27.000000
[853] : 27.093750,  27.093750
[854] : 27.578125,  30.203125
[855] : 17.296875,  17.500000
[856] : 38.765625,  39.093750
[857] : 62.031250,  63.140625
[858] : 30.671875,  30.843750
[859] : 10.375000,  10.031250
[860] : 23.421875,  25.312500
[861] : 12.468750,  24.781250
[862] : 0.890625,  0.890625
[863] : 1.234375,  1.234375
[864] : 3.453125,  3.343750
[865] : 1.546875,  1.531250
