
basis : 14, 39, 59
 [328]  dct:5.953125  a:5.953125  b:5.953125  c:5.859375   (3)    [14]:0.243339, [39]:0.220600, [59]:-0.251362
 [335]  dct:9.500000  a:9.312500  b:9.500000  c:8.765625   (3)    [14]:-0.230322, [39]:-0.053959, [59]:0.224691
 [336]  dct:9.562500  a:9.562500  b:9.562500  c:9.562500   (0)    [14]:-0.052565, [39]:-0.032375, [59]:0.016724
 [342]  dct:6.484375  a:6.484375  b:6.375000  c:6.484375   (2)    [14]:0.160901, [39]:0.251597, [59]:-0.084964
 [343]  dct:2.625000  a:2.625000  b:2.625000  c:2.500000   (3)    [14]:-0.046729, [39]:-0.091731, [59]:-0.138879
 [346]  dct:3.625000  a:3.625000  b:3.625000  c:3.484375   (3)    [14]:-0.133858, [39]:-0.015781, [59]:-0.141367
 [352]  dct:36.312500  a:36.093750  b:34.375000  c:36.562500   (2)    [14]:-0.346440, [39]:-0.487792, [59]:-0.812432
 [355]  dct:170.093750  a:167.406250  b:170.093750  c:167.250000   (3)    [14]:1.906486, [39]:0.060775, [59]:-0.345708
 [356]  dct:195.218750  a:193.156250  b:198.312500  c:199.062500   (1)    [14]:-3.040471, [39]:2.052554, [59]:0.879634
 [357]  dct:261.687500  a:264.375000  b:274.218750  c:263.125000   (0)    [14]:3.737470, [39]:1.389296, [59]:-0.312047
 [358]  dct:200.156250  a:197.437500  b:199.031250  c:216.781250   (1)    [14]:-0.910406, [39]:1.753868, [59]:1.536885
 [359]  dct:186.546875  a:243.593750  b:183.265625  c:184.453125   (2)    [14]:-6.285700, [39]:-0.521452, [59]:-0.241352
